GEO,REF_DATE,Statistics,UID,VALUE
"Drummond-North Elmsley, Ontario, Ontario Provincial Police, municipal [35039]",2008,Crime severity index,57,24.52
"LaSalle, Ontario, municipal [35388]",2011,Crime severity index,,24.54
"Grey Bruce (Georgian Bluffs), Ontario, Ontario Provincial Police, municipal [35138]",2015,Crime severity index,,24.58
"Killaloe (Bonnechere Valley), Ontario, Ontario Provincial Police, municipal [35178]",2020,Crime severity index,,24.65
"Shelburne, Ontario, municipal [35265]",2013,Crime severity index,356,24.68
"Sault Ste. Marie (Laird), Ontario, Ontario Provincial Police, municipal [35134]",2007,Crime severity index,,24.7
"Thunder Bay (Shuniah), Ontario, Ontario Provincial Police, municipal [35033]",2020,Crime severity index,,24.7
"LaSalle, Ontario, municipal [35388]",2005,Crime severity index,,24.72
"Dufferin (Amaranth), Ontario, Ontario Provincial Police, municipal [35160]",2013,Crime severity index,,24.72
"Grey Bruce (Georgian Bluffs), Ontario, Ontario Provincial Police, municipal [35138]",2017,Crime severity index,,24.73
"Caledon, Ontario, Ontario Provincial Police, municipal [35461]",2015,Crime severity index,,24.78
"Amherstburg, Ontario, municipal [35007]",2010,Crime severity index,,24.81
"Peterborough County (Municipality of Trent Lakes), Ontario, Ontario Provincial Police, municipal [35020]",2015,Crime severity index,311,24.87
"Thunder Bay (Shuniah), Ontario, Ontario Provincial Police, municipal [35033]",2017,Crime severity index,,24.88
"Grey Bruce (Chatsworth), Ontario, Ontario Provincial Police, municipal [35121]",2008,Crime severity index,116,24.9
"Halton Region (Oakville/Burlington), Ontario, municipal [35048]",2016,Crime severity index,,24.95
"Lanark County (Mississippi Mills), Ontario, Ontario Provincial Police, municipal [35036]",2013,Crime severity index,,24.97
"North Bay (Powassan), Ontario, Ontario Provincial Police, municipal [35068]",2012,Crime severity index,,24.98
"Sault Ste. Marie (Laird), Ontario, Ontario Provincial Police, municipal [35134]",2012,Crime severity index,,25
"Orillia (Oro-Medonte), Ontario, Ontario Provincial Police, rural [35254]",2020,Crime severity index,273,25
"Caledon, Ontario, Ontario Provincial Police, municipal [35461]",2014,Crime severity index,,25
"Lanark County (Tay Valley Township), Ontario, Ontario Provincial Police, municipal [35040]",2018,Crime severity index,,25
"East Perth, Ontario, Ontario Provincial Police, municipal [35488]",1999,Crime severity index,,25
"Essex County (Tecumseh), Ontario, Ontario Provincial Police, municipal [35506]",2015,Crime severity index,,25
"Essex County (Essex), Ontario, Ontario Provincial Police, municipal [35101]",2017,Crime severity index,,25
